Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses entry to cruise ships with no cases of coronavirus	0
Thailand decides on cruise ship with no coronavirus cases	thailand decides to ship cruise ships with no coronavirus cases	0
Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses to board cruise ships with no cases of coronavirus	0
Thailand refuses entry to cruise ship, concerned with coronavirus cases	California Governor says hospitals in state can schedule surgeries again	0
Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses entry to cruise ships without coronavirus cases	0
Thailand refuses entry to cruise ship with no coronavirus cases	thailand refuses admission to cruise ships with no coronavirus cases	0
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer	0
U.S. considers allowing certain impurities in hand sanitizer	U.S. considers allowing certain impurities in hand sanitizer	0
U.S. temporarily to allow certain impurities in hand sanitizer	Northern Ireland prepares for momentous abortion, same-sex marriage changes	0
U.S. temporarily to allow certain harmless impurities in hand sanitizer	U.S. temporarily to allow certain harmless impurities in hand sanitizer	0
U.S. temporarily to allow certain impurities in hand sanitizer	U.S. temporarily to allow certain impurities in hand sanitizer	0
U.S. temporarily to allow certain impurities in hand sanitizer	The most popular first-line treatment for hypertension might not be as effective as alternative drugs	0
French coronavirus deaths remain under 100 for seventh day in a row	People are giving themselves fecal transplants — and blenders are involved	0
French coronavirus deaths low for seventh day in a row	First-ever genomic analysis of puberty yields insights into critical areas of human health	0
French coronavirus deaths remain under 100 for seventh day in a row	the 103 deaths due to the coronavirus still count under 100 for the seventh day in a row	0
French coronavirus deaths at a similar rate for the last seven days	A woman in the US is the first Covid-19 survivor to receive an organ transplant	0
French coronavirus deaths remain under 100 for seventh day in a row	french coronavirus mortality remains under 100 for a seventh day in a row	0
French coronavirus deaths remain under 100 for seventh day in a row	coronavirus deaths in france remain below 100 for the seventh day in a row	0
British man infected by coronavirus on Japanese cruise ship has died	he was infected by coronavirus in a japanese cruise ship	0
Japanese cruise ship reports death of British man infected by coronavirus	Black and Hispanic children are impacted more severely by coronavirus	0
British man infected by coronavirus on Japanese cruise ship has died	the british man who died after being infected by a coronavirus on a japanese cruise ship has	0
British man on Japanese cruise ship only person to die of coronavirus	Britain asks it citizens to help pick fruit and vegetables	0
British man infected by coronavirus on Japanese cruise ship has died	one british man who was taken to a japanese cruise ship by coronavirus has died	0
British man infected by coronavirus on Japanese cruise ship has died	the british man was aboard a japanese cruise ship infected by coronavirus	0
As coronavirus infections mount, Japan at last expands testing	As coronavirus infections mount, Japan at last expands testing	0
Japan increases testing due to rise in coronavirus infections	Russian trolls spread misinformation about anti-vaccination on Twitter	0
As coronavirus infections mount, Japan at last expands testing	AI coach feasible and useful for behavioral counseling of teens in weight-loss program	0
Japan expands testing for coronavirus	Japan expands testing for coronavirus	0
As coronavirus infections mount, Japan at last expands testing	As coronavirus infections mount, Japan at last expands testing	0
As coronavirus infections mount, Japan at last expands testing	as coronavirus infections grow japan finally expands testing	0
Swiss may let 5,000 people use marijuana legally for studies	swiss officials may permit 5000 people use marijuana for studies	0
Swiss may consider legal use of marijuana for a 5,000 people study	swiss may consider legal use of marijuana for a 5000-person study	0
Swiss may let 5,000 people use marijuana legally for studies	swiss officials may allow 5000 people to use marijuana legally for studies	0
Swiss may let some citizens use marijuana for studying purposes only	swiss may let some citizens use marijuana only for research purposes	0
Swiss may let 5,000 people use marijuana legally for studies	Swiss may let 5,000 people use marijuana legally for studies	0
Swiss may let 5,000 people use marijuana legally for studies	swiss officials may allow 5000 people to use marijuana legally for studies	0
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases in hospitals slips	0
French health ministry optimistic about COVID-19 cases in hospitals	Despite their safety, birth control pills are associated with several side effects	0
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases in hospitals slips	0
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases in hospitals slips	0
French health ministry says COVID-19 cases in hospitals slips	French health ministry says COVID-19 cases in hospitals slips	0
UK sticks with criteria to hit 100,000 tests-per-day goal	UK sticks with criteria to hit 100,000 tests-per-day goal	0
UK did not change criteria to hit 100,000 tests-per-day goal	the uk has not changed the test-per-day requirements for achieving a 100000 objective	0
UK did not change criteria to hit 100,000 tests-per-day goal	Thailand refuses entry to cruise ship with no coronavirus cases	0
UK did not change criteria to hit 100,000 tests-per-day goal	Georgia bans passenger traffic on domestic railway over coronavirus	0
UK did not change criteria to hit 100,000 tests-per-day goal	the uk did not change its criteria to achieve the 100000 tests per day goal	0
Italian coronavirus deaths jump to 107, cases climb above 3,000	Blood cancer patients are more vulnerable to the effects of COVID-19	0
